site_id,lot_id,node,cell,covered
existing_site_1,lot_21,4G,cell_1,1
existing_site_1,lot_21,5G,cell_1,1
existing_site_1,lot_22,4G,cell_2,1
existing_site_1,lot_22,5G,cell_2,1
existing_site_1,lot_23,4G,cell_3,1
existing_site_1,lot_23,5G,cell_3,1
existing_site_1,lot_24,4G,cell_1,1
existing_site_1,lot_24,5G,cell_1,1
existing_site_1,lot_25,4G,cell_2,1
existing_site_1,lot_25,5G,cell_2,1
existing_site_1,lot_26,4G,cell_3,1
existing_site_1,lot_26,5G,cell_3,1
existing_site_1,lot_28,4G,cell_1,1
existing_site_1,lot_28,5G,cell_1,1
existing_site_1,lot_29,4G,cell_2,1
existing_site_1,lot_29,5G,cell_2,1
existing_site_1,lot_30,4G,cell_3,1
existing_site_1,lot_30,5G,cell_3,1
existing_site_1,lot_32,4G,cell_1,1
existing_site_1,lot_32,5G,cell_1,1
existing_site_1,lot_33,4G,cell_2,1
existing_site_1,lot_33,5G,cell_2,1
existing_site_1,lot_52,4G,cell_3,1
existing_site_1,lot_52,5G,cell_3,1
existing_site_1,lot_56,4G,cell_1,1
existing_site_1,lot_56,5G,cell_1,1
existing_site_1,lot_57,4G,cell_2,1
existing_site_1,lot_57,5G,cell_2,1
existing_site_1,lot_59,4G,cell_3,1
existing_site_1,lot_59,5G,cell_3,1
existing_site_1,lot_60,4G,cell_1,1
existing_site_1,lot_60,5G,cell_1,1
existing_site_1,lot_62,4G,cell_2,1
existing_site_1,lot_62,5G,cell_2,1
existing_site_1,lot_64,4G,cell_3,1
existing_site_1,lot_64,5G,cell_3,1
existing_site_1,lot_65,4G,cell_1,1
existing_site_1,lot_65,5G,cell_1,1
existing_site_1,lot_66,4G,cell_2,1
existing_site_1,lot_66,5G,cell_2,1
existing_site_1,lot_85,4G,cell_3,1
existing_site_1,lot_85,5G,cell_3,1
existing_site_1,lot_87,4G,cell_1,1
existing_site_1,lot_87,5G,cell_1,1
existing_site_1,lot_88,4G,cell_2,1
existing_site_1,lot_88,5G,cell_2,1
existing_site_1,lot_89,4G,cell_3,1
existing_site_1,lot_89,5G,cell_3,1
existing_site_1,lot_90,4G,cell_1,1
existing_site_1,lot_90,5G,cell_1,1
existing_site_1,lot_91,4G,cell_2,1
existing_site_1,lot_91,5G,cell_2,1
existing_site_1,lot_92,4G,cell_3,1
existing_site_1,lot_92,5G,cell_3,1
existing_site_1,lot_93,4G,cell_1,1
existing_site_1,lot_93,5G,cell_1,1
existing_site_1,lot_94,4G,cell_2,1
existing_site_1,lot_94,5G,cell_2,1
existing_site_1,lot_95,4G,cell_3,1
existing_site_1,lot_95,5G,cell_3,1
existing_site_1,lot_96,4G,cell_1,1
existing_site_1,lot_96,5G,cell_1,1
existing_site_1,lot_97,4G,cell_2,1
existing_site_1,lot_97,5G,cell_2,1
existing_site_1,lot_118,4G,cell_3,1
existing_site_1,lot_118,5G,cell_3,1
existing_site_1,lot_120,4G,cell_1,1
existing_site_1,lot_120,5G,cell_1,1
existing_site_1,lot_121,4G,cell_2,1
existing_site_1,lot_121,5G,cell_2,1
existing_site_1,lot_122,4G,cell_3,1
existing_site_1,lot_122,5G,cell_3,1
existing_site_1,lot_124,4G,cell_1,1
existing_site_1,lot_124,5G,cell_1,1
existing_site_1,lot_125,4G,cell_2,1
existing_site_1,lot_125,5G,cell_2,1
existing_site_1,lot_126,4G,cell_3,1
existing_site_1,lot_126,5G,cell_3,1
existing_site_1,lot_127,4G,cell_1,1
existing_site_1,lot_127,5G,cell_1,1
existing_site_1,lot_128,4G,cell_2,1
existing_site_1,lot_128,5G,cell_2,1
existing_site_1,lot_129,4G,cell_3,1
existing_site_1,lot_129,5G,cell_3,1
existing_site_1,lot_130,4G,cell_1,1
existing_site_1,lot_130,5G,cell_1,1
existing_site_1,lot_132,4G,cell_2,1
existing_site_1,lot_132,5G,cell_2,1
existing_site_1,lot_150,4G,cell_3,1
existing_site_1,lot_150,5G,cell_3,1
existing_site_1,lot_151,4G,cell_1,1
existing_site_1,lot_151,5G,cell_1,1
existing_site_1,lot_152,4G,cell_2,1
existing_site_1,lot_152,5G,cell_2,1
existing_site_1,lot_153,4G,cell_3,1
existing_site_1,lot_153,5G,cell_3,1
existing_site_1,lot_154,4G,cell_1,1
existing_site_1,lot_154,5G,cell_1,1
existing_site_1,lot_155,4G,cell_2,1
existing_site_1,lot_155,5G,cell_2,1
existing_site_1,lot_157,4G,cell_3,1
existing_site_1,lot_157,5G,cell_3,1
existing_site_1,lot_158,4G,cell_1,1
existing_site_1,lot_158,5G,cell_1,1
existing_site_1,lot_159,4G,cell_2,1
existing_site_1,lot_159,5G,cell_2,1
existing_site_1,lot_160,4G,cell_3,1
existing_site_1,lot_160,5G,cell_3,1
existing_site_1,lot_161,4G,cell_1,1
existing_site_1,lot_161,5G,cell_1,1
existing_site_1,lot_162,4G,cell_2,1
existing_site_1,lot_162,5G,cell_2,1
existing_site_1,lot_164,4G,cell_3,1
existing_site_1,lot_164,5G,cell_3,1
existing_site_1,lot_165,4G,cell_1,1
existing_site_1,lot_165,5G,cell_1,1
existing_site_1,lot_184,4G,cell_2,1
existing_site_1,lot_184,5G,cell_2,1
existing_site_1,lot_185,4G,cell_3,1
existing_site_1,lot_185,5G,cell_3,1
existing_site_1,lot_186,4G,cell_1,1
existing_site_1,lot_186,5G,cell_1,1
existing_site_1,lot_187,4G,cell_2,1
existing_site_1,lot_187,5G,cell_2,1
existing_site_1,lot_188,4G,cell_3,1
existing_site_1,lot_188,5G,cell_3,1
existing_site_1,lot_189,4G,cell_1,1
existing_site_1,lot_189,5G,cell_1,1
existing_site_1,lot_190,4G,cell_2,1
existing_site_1,lot_190,5G,cell_2,1
existing_site_1,lot_192,4G,cell_3,1
existing_site_1,lot_192,5G,cell_3,1
existing_site_1,lot_193,4G,cell_1,1
existing_site_1,lot_193,5G,cell_1,1
existing_site_1,lot_194,4G,cell_2,1
existing_site_1,lot_194,5G,cell_2,1
existing_site_1,lot_196,4G,cell_3,1
existing_site_1,lot_196,5G,cell_3,1
existing_site_1,lot_197,4G,cell_1,1
existing_site_1,lot_197,5G,cell_1,1
existing_site_1,lot_217,4G,cell_2,1
existing_site_1,lot_217,5G,cell_2,1
existing_site_1,lot_218,4G,cell_3,1
existing_site_1,lot_218,5G,cell_3,1
existing_site_1,lot_219,4G,cell_1,1
existing_site_1,lot_219,5G,cell_1,1
existing_site_1,lot_221,4G,cell_2,1
existing_site_1,lot_221,5G,cell_2,1
existing_site_1,lot_222,4G,cell_3,1
